name,name,pretzel,torus,theta_0,theta_2,theta_3,theta_5,theta_7,theta_2-rational,theta_3-rational,theta_5-rational,"s_2(2,1-cable)","s_3(2,1-cable)","s_5(2,1-cable)",s_2,sigma,tau,epsilon,det,symmetry,Genus-4D
10_011,,,,3,4,3,3,3,,,,,,,2,-2,1,1,43,reversible,1
10_012,,,,-3,-4,-3,-3,-3,,,,,,,-2,2,-1,-1,47,reversible,1
10_013,,,,,,,,,,,,,,,0,0,0,0,53,reversible,1
10_014,,,,,,,,,,,,,,,4,-4,2,1,57,reversible,2
10_015,,,,,,,,,,,,,,,-2,2,-1,-1,43,reversible,1
10_016,,,,,,,,,,,,,,,2,-2,1,1,47,reversible,1
10_017,,,,,,,,,,,,,,,0,0,0,0,41,fully amphicheiral,1
10_018,,,,,,,,,,,,,,,2,-2,1,1,55,reversible,1
10_019,,,,,,,,,,,,,,,2,-2,1,1,51,reversible,1
10_020,,,,,,,,,,,,,,,2,-2,1,1,35,reversible,1
10_021,,,,,,,,,,,,,,,4,-4,2,1,45,reversible,2
10_022,,,,0,0,0,0,0,,,,,,,0,0,0,0,49,reversible,0
10_023,,,,,,,,,,,,,,,-2,2,-1,-1,59,reversible,1
10_024,,,,,,,,,,,,,,,2,-2,1,1,55,reversible,1
10_025,,,,,,,,,,,,,,,4,-4,2,1,65,reversible,2
10_026,,,,,,,,,,,,,,,0,0,0,0,61,reversible,1
10_027,,,,,,,,,,,,,,,-2,2,-1,-1,71,reversible,1
10_028,,,,,,,,,,,,,,,0,0,0,0,53,reversible,1
10_029,,,,,,,,,,,,,,,2,-2,1,1,63,reversible,1
10_030,,,,,,,,,,,,,,,2,-2,1,1,67,reversible,1
10_031,,,,,,,,,,,,,,,0,0,0,0,57,reversible,1
10_032,,,,,,,,,,,,,,,0,0,0,0,69,reversible,1
10_033,,,,,,,,,,,,,,,0,0,0,0,65,fully amphicheiral,1
10_034,,,,,,,,,,,,,,,0,0,0,0,37,reversible,1
10_035,,,,0,0,0,0,0,,,,,,,0,0,0,0,49,reversible,0
10_036,,,,,,,,,,,,,,,2,-2,1,1,51,reversible,1
10_037,,,,,,,,,,,,,,,0,0,0,0,53,fully amphicheiral,1
10_038,,,,,,,,,,,,,,,2,-2,1,1,59,reversible,1
10_039,,,,,,,,,,,,,,,4,-4,2,1,61,reversible,2
10_040,,,,,,,,,,,,,,,-2,2,-1,-1,75,reversible,1
10_041,,,,,,,,,,,,,,,2,-2,1,1,71,reversible,1
10_042,,,,0,0,0,0,0,,,,,,,0,0,0,0,81,reversible,0
10_043,,,,,,,,,,,,,,,0,0,0,0,73,fully amphicheiral,1
10_044,,,,,,,,,,,,,,,2,-2,1,1,79,reversible,1
10_045,,,,,,,,,,,,,,,0,0,0,0,89,fully amphicheiral,1
10_046,,,,9,12,9,9,9,,,,,,,6,-6,3,1,31,reversible,3
10_047,,,,,,,,,,,,,,,-4,4,-2,-1,41,reversible,2
10_048,,,,0,0,0,0,0,,,,,,,0,0,0,0,49,reversible,0
10_049,,,,,,,,,,,,,,,6,-6,3,1,59,reversible,3
10_050,,,,,,,,,,,,,,,4,-4,2,1,53,reversible,2
10_051,,,,,,,,,,,,,,,-2,2,-1,-1,67,reversible,1
10_052,,,,,,,,,,,,,,,2,-2,1,1,59,reversible,1
10_053,,,,,,,,,,,,,,,4,-4,2,1,73,reversible,2
10_054,,,,,,,,,,,,,,,-2,2,-1,-1,47,reversible,1
10_055,,,,,,,,,,,,,,,4,-4,2,1,61,reversible,2
10_056,,,,,,,,,,,,,,,4,-4,2,1,65,reversible,2
10_057,,,,,,,,,,,,,,,-2,2,-1,-1,79,reversible,1
10_058,,,,,,,,,,,,,,,0,0,0,0,65,reversible,1
10_059,,,,,,,,,,,,,,,2,-2,1,1,75,reversible,1
10_060,,,,,,,,,,,,,,,0,0,0,0,85,reversible,1
10_061,,,,,,,,,,,,,,,4,-4,2,1,33,reversible,2
10_062,,,,,,,,,,,,,,,-4,4,-2,-1,45,reversible,2
10_063,,,,,,,,,,,,,,,4,-4,2,1,57,reversible,2
10_064,,,,,,,,,,,,,,,2,-2,1,1,51,reversible,1
10_065,,,,,,,,,,,,,,,-2,2,-1,-1,63,reversible,1
10_066,,,,,,,,,,,,,,,6,-6,3,1,75,reversible,3
10_067,,,,,,,,,,,,,,,2,-2,1,1,63,chiral,1
10_068,,,,,,,,,,,,,,,0,0,0,0,57,reversible,1
10_069,,,,,,,,,,,,,,,-2,2,-1,-1,87,reversible,1
10_070,,,,,,,,,,,,,,,-2,2,-1,-1,67,reversible,1
10_071,,,,,,,,,,,,,,,0,0,0,0,77,reversible,1
